-- -------------------------------------------------------------------------------------------
-- INSERINDO DADOS NA TABELA FORNECEDORES (idvenda,idproduto,idvendedor,valortotal,comissao,idfabricante) 
-- select * from vendas;
----------------------------------------------------------------------------------------------
insert into fornecedor (idvenda,idproduto,idvendedor,valortotal,comissao,idfabricante) values
(1,1,1,1.81,0.14,1),
(2,2,2,12.06,0.96,2),
(3,3,3,11.97,0.96,3),
(4,4,4,19.84,1.59,4),
(5,5,5,10.9,0.87,5),
(6,6,6,49.74,3.98,6),
(7,7,7,48.02,3.84,7),
(8,8,8,45.04,3.6,8),
(9,10,9,5.5,0.44,9),
(10,12,10,41.4,3.31,10),
(11,13,11,19.37,1.55,11),
(12,14,12,75.18,6.01,12),
(13,15,13,46.05,3.68,13),
(14,16,14,48.64,3.89,14),
(15,17,15,137.02,10.96,15),
(16,18,16,36.54,2.92,16),
(17,19,17,162.64,13.01,17),
(18,20,18,196.2,15.7,18),
(19,22,19,200.64,16.05,19),
(20,23,20,216.66,17.33,20),
(21,25,21,221.75,17.74,21),
(22,26,22,84.24,6.74,22),
(23,27,23,154.17,12.33,23),
(24,28,24,36.68,2.93,24),
(25,29,25,96.57,7.73,25),
(26,30,26,36.3,2.9,26),
(27,31,27,149.11,11.93,27),
(28,32,28,195.2,15.62,28),
(29,33,29,34.98,2.8,29),
(30,34,30,227.8,18.22,30),
(31,35,31,278.6,22.29,31),
(32,36,32,177.84,14.23,32),
(33,37,33,93.98,7.52,33),
(34,38,34,361.38,28.91,34),
(35,39,35,221.91,17.75,35),
(36,40,36,166,13.28,36),
(37,42,37,337.26,26.98,37),
(38,43,38,288.1,23.05,38),
(39,44,39,368.28,29.46,39),
(40,45,40,162,12.96,40),
(41,46,41,404.34,32.35,41),
(42,48,42,372.48,29.8,42),
(43,49,43,262.64,21.01,43),
(44,50,44,432,34.56,44),
(45,51,45,500.82,40.07,45),
(46,52,46,8.84,0.71,46),
(47,53,47,380.01,30.4,47),
(48,54,48,220.32,17.63,48),
(49,55,49,80.85,6.47,49),
(50,56,50,548.24,43.86,50),

