id,name,symbol,slung,rank,is_active,first_history,last_history
1,Bitcoin,BTC,bitcoin,1,1,2013-04-28T18:47:21.000Z,2022-06-08T19:09:00.000Z
2,Litecoin,LTC,litecoin,20,1,2013-04-28T18:47:22.000Z,2022-06-08T19:09:00.000Z
3,Namecoin,NMC,namecoin,618,1,2013-04-28T18:47:22.000Z,2022-06-08T19:09:00.000Z
4,Terracoin,TRC,terracoin,1750,1,2013-04-28T18:47:22.000Z,2022-06-08T19:09:00.000Z
5,Peercoin,PPC,peercoin,805,1,2013-04-28T18:47:23.000Z,2022-06-08T19:09:00.000Z
6,Novacoin,NVC,novacoin,2474,1,2013-04-28T18:47:23.000Z,2022-06-08T19:09:00.000Z
8,Feathercoin,FTC,feathercoin,1312,1,2013-05-03T03:25:15.000Z,2022-06-08T19:09:00.000Z
10,Freicoin,FRC,freicoin,1978,1,2013-05-03T03:25:15.000Z,2022-06-08T19:09:00.000Z
13,Ixcoin,IXC,ixcoin,1416,1,2013-05-08T05:20:18.000Z,2022-06-08T19:09:00.000Z
16,WorldCoin,WDC,worldcoin,6771,1,2013-05-22T03:20:20.000Z,2022-06-08T19:09:00.000Z
18,Digitalcoin,DGC,digitalcoin,2271,1,2013-06-09T17:55:21.000Z,2022-06-08T19:09:00.000Z
25,Goldcoin,GLC,goldcoin,1577,1,2013-06-14T06:45:28.000Z,2022-06-08T19:09:00.000Z
35,Phoenixcoin,PXC,phoenixcoin,1553,1,2013-07-04T05:15:49.000Z,2022-06-08T19:09:00.000Z
37,Megacoin,MEC,megacoin,2296,1,2013-07-07T13:56:51.000Z,2022-06-08T19:09:00.000Z
41,Infinitecoin,IFC,infinitecoin,762,1,2013-07-10T13:27:02.000Z,2022-06-08T19:09:00.000Z
42,Primecoin,XPM,primecoin,1367,1,2013-07-11T03:21:19.000Z,2022-06-08T19:09:00.000Z
43,Anoncoin,ANC,anoncoin,2462,1,2013-07-15T01:31:35.000Z,2022-06-08T19:09:00.000Z
45,CasinoCoin,CSC,casinocoin,4651,1,2013-07-25T03:06:28.000Z,2022-06-08T19:09:00.000Z
52,XRP,XRP,xrp,7,1,2013-08-04T18:51:05.000Z,2022-06-08T19:09:00.000Z
53,Quark,QRK,quark,1520,1,2013-08-25T17:46:22.000Z,2022-06-08T19:09:00.000Z
56,Zetacoin,ZET,zetacoin,2147,1,2013-09-11T01:47:21.000Z,2022-06-08T19:09:00.000Z
61,TagCoin,TAG,tagcoin,2197,1,2013-11-05T13:32:08.000Z,2022-06-08T19:09:00.000Z
64,Public Index Network,PIN,public-index-network,1715,1,2013-11-27T06:01:46.000Z,2022-06-08T19:09:00.000Z
66,Nxt,NXT,nxt,1015,1,2013-12-04T05:46:40.000Z,2022-06-08T19:09:00.000Z
67,Unobtanium,UNO,unobtanium,7059,1,2013-12-21T18:17:35.000Z,2022-06-08T19:09:00.000Z
69,Datacoin,DTC,datacoin,2631,1,2013-12-07T19:47:06.000Z,2022-06-08T19:09:00.000Z
72,Deutsche eMark,DEM,deutsche-emark,2365,1,2013-12-15T01:52:15.000Z,2022-06-08T19:09:00.000Z
74,Dogecoin,DOGE,dogecoin,10,1,2013-12-15T14:42:34.000Z,2022-06-08T19:09:00.000Z
77,Diamond,DMD,diamond,950,1,2013-12-19T12:31:59.000Z,2022-06-08T19:09:00.000Z
78,HoboNickels,HBN,hobonickels,7907,1,2013-12-20T13:32:39.000Z,2022-06-08T19:09:00.000Z
80,Orbitcoin,ORB,orbitcoin,1941,1,2013-12-21T18:12:54.000Z,2022-06-08T19:09:00.000Z
83,Omni,OMNI,omni,1377,1,2013-12-24T23:37:41.000Z,2022-06-08T19:09:00.000Z
87,FedoraCoin,TIPS,fedoracoin,1645,1,2013-12-31T16:17:26.000Z,2022-06-08T19:09:00.000Z
90,Dimecoin,DIME,dimecoin,1321,1,2014-01-06T07:42:29.000Z,2022-06-08T19:09:00.000Z
93,42-coin,42,42-coin,1239,1,2014-01-14T04:32:01.000Z,2022-06-08T19:09:00.000Z
99,Vertcoin,VTC,vertcoin,769,1,2014-01-20T05:27:57.000Z,2022-06-08T19:09:00.000Z
109,DigiByte,DGB,digibyte,146,1,2014-02-06T13:13:38.000Z,2022-06-08T19:09:00.000Z
118,ReddCoin,RDD,redd,820,1,2014-02-10T00:58:17.000Z,2022-06-08T19:09:00.000Z
