Langers - Ruby Red Grapfruit,958
Wine - Charddonnay Errazuriz,140
Shrimp - Black Tiger 8 - 12,513
Nut - Macadamia,775
"Vinegar - Balsamic, White",644
Sole - Iqf,849
"Cake Circle, Paprus",36
Pastry - Banana Tea Loaf,217
"Thyme - Lemon, Fresh",674
Rice Paper,415
"Napkin - Cocktail,beige 2 - Ply",527
Honey - Comb,235
Appetizer - Chicken Satay,283
Syrup - Monin - Granny Smith,519
"Turkey - Breast, Boneless Sk On",782
Beef - Ground Lean Fresh,264
Garbage Bags - Black,172
Lid Coffeecup 12oz D9542b,728
Wasabi Paste,609
Sultanas,454
Pepper - Red Bell,244
Coriander - Ground,517
Calypso - Lemonade,832
Crackers - Trio,894
Wine - Pinot Noir Latour,843
"Split Peas - Yellow, Dry",26
Sponge Cake Mix - Chocolate,124
"Pepper - White, Ground",655
Gatorade - Cool Blue Raspberry,595
Pastry - Chocolate Marble Tea,979
Pepper - Pablano,399
Beets - Mini Golden,468
Guava,912
"Soup - Knorr, Veg / Beef",759
Coffee Beans - Chocolate,119
English Muffin,694
Wine - Pinot Noir Stoneleigh,429
"Asparagus - Green, Fresh",364
"Shrimp - 21/25, Peel And Deviened",669
"Lobster - Baby, Boiled",903
Pan Grease,286
Filter - Coffee,653
Lid Coffee Cup 8oz Blk,236
Cheese - Sheep Milk,695
Island Oasis - Peach Daiquiri,34
Bread - Pumpernickel,549
Lemon Grass,59
Energy Drink - Redbull 355ml,645
Wine - Guy Sage Touraine,220
"Nut - Almond, Blanched, Sliced",319
Schnappes Peppermint - Walker,168
"Sauce - Soya, Dark",34
"Pepper - Green, Chili",758
Port - 74 Brights,830
Rhubarb,966
Coffee Cup 16oz Foam,404
Nantucket Orange Juice,924
Cake - Lemon Chiffon,755
Water - Perrier,478
Kiwi,406
Wine - Ice Wine,644
"Soup - French Onion, Dry",338
Wine - Magnotta - Cab Sauv,642
Sour Puss Raspberry,388
"Juice - Apple, 500 Ml",862
Clams - Canned,187
Longos - Cheese Tortellini,700
"Turkey - Breast, Smoked",337
Clams - Canned,283
Mushroom - Lg - Cello,809
"Beets - Candy Cane, Organic",608
Compound - Passion Fruit,341
Carbonated Water - Strawberry,821
Broccoli - Fresh,782
"Lentils - Red, Dry",286
Cup - 8oz Coffee Perforated,766
Glycerine,305
Sunflower Seed Raw,789
Cookies Cereal Nut,680
Puree - Pear,979
Beef - Inside Round,599
Lamb - Shanks,341
Wine - Vouvray Cuvee Domaine,941
"Flour - Corn, Fine",505
"Tabasco Sauce, 2 Oz",369
Pears - Bosc,997
Spring Roll Wrappers,445
Chocolate Liqueur - Godet White,608
Cheese - Brie,202
Kellogs Special K Cereal,519
Yoghurt Tubes,517
Bread - Italian Corn Meal Poly,242
Wine - Casablanca Valley,904
Munchies Honey Sweet Trail Mix,28
Dragon Fruit,26
"Crush - Orange, 355ml",79
Nestea - Iced Tea,787
Chinese Lemon Pork,155
Longos - Chicken Caeser Salad,20
Buffalo - Short Rib Fresh,76
Pears - Fiorelle,562
Ice Cream Bar - Rolo Cone,572
Beef - Ground Lean Fresh,349
Goulash Seasoning,714
Capicola - Hot,678
Calypso - Black Cherry Lemonade,125
"Syrup - Monin, Irish Cream",206
Milk - Buttermilk,65
Rice Wine - Aji Mirin,761
Tomato Puree,647
Apron,272
Pails With Lids,937
"Pasta - Tortellini, Fresh",331
Juice - Ocean Spray Kiwi,661
Sage - Rubbed,441
Wine - Cotes Du Rhone Parallele,456
"Tray - Foam, Square 4 - S",697
"Asparagus - White, Canned",170
Bread - Multigrain,717
"Veal - Inside, Choice",67
Pepper - Scotch Bonnet,887
Wine - Charddonnay Errazuriz,850
Quinoa,992
Carroway Seed,282
Longos - Chicken Wings,536
Foam Espresso Cup Plain White,450
"Lamb - Whole, Fresh",629
"Bread - Rolls, Rye",838
Energy Drink Bawls,824
"Oil - Olive, Extra Virgin",72
Soap - Hand Soap,608
Lidsoupcont Rp12dn,500
Radish - Pickled,689
Bread - Granary Small Pull,379
Tomato - Tricolor Cherry,312
"Sauce - Gravy, Au Jus, Mix",159
Sherbet - Raspberry,245
Fuji Apples,43
Wine - Shiraz South Eastern,214
"Hickory Smoke, Liquid",515
Cheese - Goat,217
Chips Potato All Dressed - 43g,215
Wine - Casillero Deldiablo,627
Ginsing - Fresh,726
